tweet,clasificacion
"cosas cómo estás la llenan de emoción???? a nosotros nos llenan de pánico, el crimen organizado y las mafias se tomarán a colombia en un eventual gobierno de su mesías.",NEGATIVA
"yo también lo estoy diciendo, uribe y el uribismo, creen que le hicieron un daño a quintero. están equivocados, más bien lo premiaron; promocionando su candidatura como presidente. 2026-2030. quintero calle, presidente, el cambio en primera. con fe manda dios.",NEGATIVA
con los microfinos de notiparaco,NEGATIVA
ignorante.,NEGATIVA
nop.el estaba violando la ley.,NEGATIVA
"estoy igual de ... osea en q andaban, jajajajja q creen q eran los filántropos de la nación y el mundo enterohabrase visto tanta ignorancia...",NEGATIVA
el hampon quiere aliarse con paras,NEGATIVA
el futuro gbno de la vida e inclusión.,POSITIVA
"si realmente quiere ser buen ciudadano como posa, ejerza su obligación de denunciar, averigüe cuántas veces ha faltado y denúncielo, eso es fácil comprobarlo con las actas, sino lo hace queda como cómplice y si no es cierto, queda como chismoso.",NEGATIVA
"en lugar de dejar la inquietud y si realmente quiere ser buen ciudadano como posa, ejerza su obligación de denunciar, averigüe cuántas veces ha faltado y denúncielo, eso es fácil comprobarlo con las actas, sino lo hace queda como cómplice y si no es cierto, queda como chismoso.",NEGATIVA
cual es su candidato?,NEUTRAL
"llevas tiempo pidiendo pistatodo empezó con el progresismo que adoptaste, mejoró con el petrismo que te adoptó, vas bien por ese camino de animalización. te gradúas este 29 de mayo votando por",NEGATIVA
"venezuela el paraíso socialista de sin uribismo te espera, salvate.",NEUTRAL
lo dije.,NEUTRAL
esto es lo q representa para colombia:*hambre*miseria*enfermedad*destrucción*muerte*comunismo*tiranía*expropiación*saqueo institucional*impunidad para criminales*destrucción del sistema de salud*empoderamiento del narcotráfico*mas asesinos con curules,NEGATIVA
los 62 y el abuso ya le están pasando cuenta a,NEGATIVA
"por acá con mi abrazo ancestral , te puedo decir que te la volé, solo que en parapente, y lo bueno es que te la devuelvo sana y salva.",POSITIVA
que te responda . yo? yo no estoy en eso,NEUTRAL
"tu jefe de debate en medellín , por no participar en política ? ja ja.",NEUTRAL
"recuerde q el futuro pdte le dijo: q el no sobraba, pero q ojalá p su gbno llegara mejor preparado, pq dejara de estar gritando sandeces.",NEGATIVA
hay que dar las gracias a y a la primera linea.,NEUTRAL
"el hombre mas honesto, trabajador, recto, digno, justo es mi papá, precisamente él me enseñó todo eso mas la admiración por asi que señor no rebusne pendejadas que no sabe!! aca el unico ser fracasado es usted. un ignorante con plata.",NEGATIVA
¡vamos por el cambio de la vida!.,POSITIVA
ahora díganlo sin llorar.,NEGATIVA
lo ve usted a petro o incluso al mismo fico sacando pecho por un grupo de personas a las que en el pasado dio la espalda??? si petro dio o no es irrelevante en este momento porque no anda de sapo sacando pecho ni felicitando a quien dejó atrás.,NEGATIVA
nunca lo imaginamos. tan correctos que son.ja.,POSITIVA
gracias totales,NEUTRAL
"insisto, el del trino es fajardo y meten a petro en esto. por qué no cuestionan el accionar del candidato del partido verde a través de su oportunismo? hombre, no es tan difícil",NEGATIVA
que el alcalde de ibagué le manda a decir que si no lo va a defender a él también?,NEUTRAL
"petrista que me siga, le sigo. no nos conocemos pero nos necesitamoshagamos crecer la tendencia sigámonos demos rt,  o comentar sigamos a los que den rt comentarios",NEUTRAL
"a mi qué me importa eso? es más, si petro hubiera salido con las mismas mi discurso no cambia. dejen de sobar bolas por gente que no ha hecho ni mierda por esta comunidad!",NEGATIVA
"ese 19% es el que vota a última hora, debido a que le dan una motivación",NEUTRAL
pague las chivas desde bogotá entonces porque aquí en medellín complicada la cosa,NEUTRAL
osino para que hacen votaciones de alcalde,NEUTRAL
si- la pobreza afecta el desarrollo cognitivo - los pobres están en aumento. - inflación mayor para los pobres¿cuál será la propuesta concreta para cambiar estas cifras en beneficio de los pobres de colombia?,NEGATIVA
"el culebro casanova"" desde el más allá le dice al ""bobo hijueputa""...""",NEGATIVA
"el culebro casanova"" desde el más allá le dice al ""bobo hijueputa""...""",NEGATIVA
"el paraíso con el que sueñan los vándalos, es sólo miseria dónde en la última protesta detuvieron a 130 jóvenes menores de 16 años y fueron condenados a más de veinte años cada uno.",NEGATIVA
pero no hay participación en política! qué tal los caraduras?,NEGATIVA
acompañaremos al ex alcalde quintero a la puerta de salida,NEUTRAL
es hora de investigar y revisar todos los contratos de y su compañero de picardías con y . regresarlos a casa pronto.,NEGATIVA
"y la lucha por defender la democracia"" del alcalde de ibagué, qué? esa no les importa, cierto? cómo la participación de él en política fue a favor de otro candidato no te sirve, cierto?""",NEUTRAL
"felices por tantos que no son queridos, gracias: mayer y marcel.",POSITIVA
ahora dígalo sin llorar.,NEGATIVA
"paramilitares a la cárcel por 10 años o extraditados, (están llegando a la cárcel), asesinos de farc con curules gratis, auxilios, impunidad, no extradicion, no contaron verdad ni repararon víctimas, no hubo secuestros, ni abuso de menores ni desaparrcidos, no pagarán cárcel,",NEGATIVA
ud que aporto?,NEUTRAL
se va a quedar sin poder lagartear contratos por cuadrar reuniones.cinica descarada,NEGATIVA
clarisimo hermano...no es más que digas qhay qué hacer!!!tusórdenes serán mandatos...caballeraso...empeza pues...!!!???ja!,NEUTRAL
no te burles de la autoridad que se respeta!!. la nueva carta define de manera inequívoca el nuevo carácter del ministerio público para ejercer la función de control sobre la conducta de todos los servidores públicos incluidos los de elección popular.,NEUTRAL
"quieren tapar la verdad, usted no es sincero y sabe de que le está haciendo campaña, así quieren gobernar el país ? con mentiras",NEGATIVA
"jajajajaaja, bien dicho",POSITIVA
y a casi...,NEUTRAL
"a le digo que voy a votar por y mi papi estaba orgulloso de mi solo por el hecho de ser su hija, de mi forma de ser y pensar, orgulloso de mi trabajo, y yo de él. así que mejor no se meta en la vida personal de las personas",POSITIVA
"es falsa la cuenta, señora. investigue, sea racional.",NEGATIVA
"la gobernación no es de silvano solamente detrás de el esta william villamizar por favor ayúdanos con los clanes de este norte de santander en los cuales siempre ha estado el señor bautista, no te olvides de este departamento tan robado!",NEGATIVA
otra que se le volteo a la coalición. se arriman a quien piensan va a ser elegido. ¿que sentirán?,NEUTRAL
"no mucholos índices de libertad económica no dicen que sean progresistas, que tengan impuestos progresivos y culturas progresistas es diferente. progresismo es inversamente proporcional a libertad económica y directamente proporcional a control estatal.",NEUTRAL
jajajajaja,NEUTRAL
en la gobernación esta presionando a las asociaciones de mujeres y de abuelos para que asistan a la plaza en la venida de fico además tienen q votar por el,NEUTRAL
venceremos ánimo esa decisión se cae por qué se cae.,POSITIVA
le cambiamos a castaño para que reviva a jaime garzón. ese si que con gusto votaría por,NEUTRAL
"no entiendo como no se ha tomado este país. según los uribistas: lo apoyan las farc, el eln, carlos castaño, pablo escobar, otoniel, el cdg, los power rangers, el chapulin, burbuja, bellota, fidel castro, chavez y hasta el mismo mr. satan y goku.",NEUTRAL
ing y no ha pensado tomarse un café con ? las encuestas no le favorecen,NEUTRAL
"muy bueno eso, excelente.",POSITIVA
"deje de generar desinformación desde una cuenta falsa, baboso. , parcero, te tienen una cuenta fake.",NEGATIVA
"jajajajjasi tuvieron q llenar eso pagando, obligando a los de la misma alcaldía a bajar y con rolos y caleños son patéticos!",NEGATIVA
y después son tan descarados y dicen que el payaso de pinturita no estaba haciendo campaña,NEGATIVA
nuestro trabajo alrededor de la pintada del muro en el barrio ¡ divina pastora en úcuta,NEUTRAL
todo el sistema electoral en colombia es corrupto !!de allí la celebración de zapatero con la gerga de izquierda cómplices y condescendientes del indeseable !,NEGATIVA
una propuesta populista es mejorar al 100 la educación de este país?,NEGATIVA
y quien va a liderar la negociación. isabel zuleta????,NEUTRAL
petro presidente de colombia  en primera vuelta presidencial y francia márquez vicepresidenta,NEUTRAL
"nos la estamos jugando toda por la vida, porque queremos",POSITIVA
que bien por los liberales que se cansaron del pésimo gobierno matarife chancho,NEGATIVA
"así de claro consideran que el cambio es , hasta para este tibio fajardista camuflado en periodista .",NEGATIVA
tranquilo ...que va por buen camino ...usted será parte del cambio del país junto al ...un paisa de los buenos ...unirse al gobierno de y será un aprendizaje y un apoyo para ser el sucesor en la presidencia...,POSITIVA
de ahira en adelante a,NEUTRAL
el trío los insoportables,NEGATIVA
"así es y ahora terminaron de impulsar a y al mismo tiempo lanzaron su candidatura con esa persecución, que grande es , el mejor jefe de campaña que la ha tenido",POSITIVA
"ya estoy mentalizado que lastimosamente para el país ha agarrado mucho incauto, los que en un año se estarán lamentando de su decisión.",NEGATIVA
vamos mi gente linda con toda enprimerado,POSITIVA
te propongo un pacto rompamos las maquinarias y apoyemos a rodolfo tu no te imaginas la popularidad que tiene y si no pasa segunda vuelta yo voto por petro,POSITIVA
y porque no suspenden a duque y al de barranquilla,NEGATIVA
si le volaron la elecciones como una aspirada en un bar en la zona t... entiende...,NEGATIVA
el presidente de la gente .....óndiputado,NEUTRAL
"tengo a más de 230 personas por trabajadores, amigos, familiares y mucho conocido multiplicable nos toca o colombia se autodestruye en manos de los criminales de lesa humanidad vamos avanzando songó soróngo pero fijos.",NEGATIVA
"excelente tweet teniendo en cuenta que valoro la calidad de candidato que es el dr gómez, pero en este momento debemos velar por la democracia junto al candidato que puede derrotar al asqueroso guerrillero",NEGATIVA
que se jodan,NEGATIVA
estás peleas de y le suman votos a,NEUTRAL
"unidos quienes, si ya tiene a todos los clanes políticos de colombia unidos contra la base de la pirámide que reclama oportunidades sociales y egan su opinión es respetable, pero me pregunto su voto es de opinión o es de detrás de algún interés en particular.",NEUTRAL
fico nuestro próximo presidente de colombia ganaremos sobrados fico presidente,POSITIVA
estas muy aburridor pues!!,NEGATIVA
está cagado con el ascenso de rodolfo.,NEGATIVA
entrevista de con véala completa.,NEUTRAL
"lastima desconocer la realidad de mi país.haciendo campaña como los uribestias jajajja.hácerla con con argumentos.con propuesta, pero de esa forma.tu eres un hombre inteligente vamos, tu puede.",NEGATIVA
ya basta,NEGATIVA
jaja enserio coma mucha porqueria paso de simplemente votar a hacer campaña solo por qué se la montaron este mensaje lo que deja más que claro es que por las popular que sea sigue siendo ignorante y nada realista de el país,NEGATIVA
independiente jajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaja,NEUTRAL
santander ...esta con fico....lo demás ed paja...,NEUTRAL
esto ya se había visto...,NEUTRAL
amén,NEUTRAL
con esta portada esperan atraer a los electores,NEUTRAL
"fico no es el candidato de ellos , es el guerrillero",NEGATIVA
"funcionarios de la alcaldía local de san cristóbal y el alcalde local juan carlos triana hizo retirar a jóvenes que estaban afuera del parque, en espacio público apoyando a . no estaban haciendo nada malo. sin embargo, como se muestra en el vídeo,fueron reprimidos",NEGATIVA
"definitivamente en los debates y respuestas dadas por don fico ,demuestra que no está preparado para ser presidente,fue alcalde de medellín y no conoce la ciudad de medellín...es folclórico y sería un caos peor que lo hecho por el gob de duque...",NEGATIVA
"encomendándole al señor de los milagros de buga, a colombia a y",NEUTRAL
yoooooooy toda mi familia ....,NEUTRAL
yo no tengo tantos seguidores pero ayúdeme a compartir a este sinvergüenza del hijo de anticorrupción miren al independiente con otro independiente y la tonta de cayó redondita,NEGATIVA
"siiiiii, como asiii, siga asiiiii, jajajaja",NEUTRAL
es dr no va pasar a segunda vuelta ña,NEUTRAL
"esas relaciones de causalidad planteadas por una politóloga de , dejan muy mal parada a la institución. esto lo digo porque: 1) la ignorancia es real y se cree lo que escribe, o 2) es una ignorancia con causa (es consciente de ello) y su fin influir negativamente.",NEUTRAL
estas son las verdaderas encuestas.....fico ...presidente.......,POSITIVA
lo mejor que tienes son todos los clanes y marcos paramilitares y cualquier cantidad de corruptos por eso solo su madrecita cree en ti,NEGATIVA
"guerrilero fue, guerrillero es y guerrillero seguirá!!",NEGATIVA
"una cosa es lo que usted piensa y otra cosa es decir que los que votamos por queremos seguir iguales ,pues no mijito, nosotros queremos mejorar el país.",POSITIVA
. . si no hacen algo le robaran las votaciones sobre todo a los.minoritarios les transladaran los votos a petro y hernandez convoque a un planton en la procuraduria,NEUTRAL
o a defender la democracia maestro con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.,POSITIVA
"pobrecito, el desconocimiento lo lleva a repetir lo que su patrón opina con envidia y odio, de los que estan hechos",NEGATIVA
a le preocupa preservar y cuidar los recursos y reivindicar los derechos de los pescadores. una de las varias razones para apoyarlo. te extiendo una cordial invitación para que lo apoyes este 29 de mayo. én,POSITIVA
"que vengan ala alta y media guajira como tienen a los venezolanos y colombianos, el efecto en la economía de frontera la pobreza por culpa de maduro y lo que hacen los políticos corruptos en un departamentos que tiene mucho potencial",NEGATIVA
"queda una semana para que el cambio no sea de país, unamos todos para que sea nuestro presidente y cómo lo dice él, sin odios, todos trabajando por un solo propósito, sacar a nuestra patria adelante!!",POSITIVA
ganaremos en primera porque o y con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.,POSITIVA
pero no vaya a aburrir a la gente a los 10 minutos,NEGATIVA
y le ganará en primera vuelta porque o y con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.,POSITIVA
todos unidos para q salvemos a colombia y prepararnos para recuperar a bogotá de las garras de la corrupción y formar un concejo contra la bogotá salvaje con la iniciativa del concejal colmenares,POSITIVA
se convirtió en un gregario de,NEUTRAL
"y esa concentración en barranquilla, fue pagada por el clan chat, eso no garantiza que le ven a votar la gente que va a esos lugares primero no trabaja y si les pagan van, no lo hacen expontaneamente, son personas llevadas de otros municipios, y por el refresco,",NEUTRAL
como la ve: .....,NEUTRAL
juajuajuajua....hasta el mismo petro reconoce la victoria de ... mire esto:,NEUTRAL
esto es lo que defiendes.,NEUTRAL
"petro es miseria, hambre, pobreza absoluta, injusticia, guerra, odio de clases, resentimiento...ahi no hay nada bueno.buen mensaje estimado huguito.",NEGATIVA
saludes de la gente a orillas del rio cauca que hoy esperan el cumplimiento de la promesa d eun puente iniciado en su gobernación y mas de 6 años no han acabado,NEUTRAL
"colombia despertó chao narcotraficantes del estado gracias doctor ñeñe hernández,doctor memo fantasma hermano de marta lucía ramírez y demás clanes.",NEGATIVA
"destaparon la ñaladauribistazuluaga descabezado x fico, fico descabezado x rodolfo y rodolfo curtido con ingridlamentable la deslealtad del centro democrático con lo dejaron sólo y en el peor momento!",NEGATIVA
¡mañana ! todos a acompañar a nuestro próximo de,NEUTRAL
"destaparon el grupo uribista y a les clavaron el puñal.zuluaga descabezado x fico, fico descabezado x rodolfo y rodolfo curtido con ingridlamentable la deslealtad del centro democrático con lo dejaron sólo y en el peor momento!",NEGATIVA
fico presidente. es el más preparado de todos.,POSITIVA
"esto si es multitudinario, esto si es real y sin pagar un solo centavo !!!y preciso en la tierra del alias fico !!!petro presidente en primera !!!",POSITIVA
las 3.000.000 de firmas de álex char!,NEUTRAL
"por mi familia, por mi empresa, por mi futuro...... yo me con el presidente de la gente.",NEUTRAL
y canta conmigo yo me identifico. por la libertad religiosa y la defensa de la democracia de nuestra amada nación.,POSITIVA
"si mire, como le fue a petro en medellín.que hjpta tan bruto, métase su pronóstico qlo arriba.cual de esos que usted nombra llena plazas así y gratis, sin pagarle a nadie !!!",NEGATIVA
que ñero...pena ser un candidato a la presidencia.,NEGATIVA
ay tenés a los que tienen llevado este pueblo comiendo,NEUTRAL
imparable con,POSITIVA
"según la última encuesta de guarumo pierde puntos, y suben",NEUTRAL
"si señora. cambio y fuera petro, el pueblo no es tarado, es mas inteligente de lo que creen y con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.",POSITIVA
en el edificio donde vivo es pequeño4 por 12. x . 1 por el celador por,NEUTRAL
jajajajjajajja ¿no les ha alcanzado el tiempo para eso? ¿necesitan cuánto tipo en el poder para lograrlo? ¿quizás toda una vida? ¡dictadores!,NEGATIVA
"claro que si. seguiremos viviendo sabroso, el pueblo no es tarado, es mas inteligente de lo que creen, y con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.",POSITIVA
operación jaque colombia,NEUTRAL
o y con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.,POSITIVA
esto es un peligro o con voto útil por ganaremos en primera vuelta e impediremos que regrese al senado.,POSITIVA
"uyyy que acertado , petro puede que haya dejado las armas, pero no desarmo su espíritu, es muy peligroso para un país un presidente lleno de odio.",NEGATIVA
"fico, vamos a demostrar que si se puede.. somos país",POSITIVA
